,Labels,Negative,Positive,Tweet,user
0,POSITIVE,0,3,b'@flipkartsupport plz share me product is reaches warehouse yes /nobut product pick up me 26/11/2016 earlly mrngother issue not aresponce me.',flipkartsupport
1,POSITIVE,1,3,b'@flipkartsupport.dear team my product is maximum refund date share me urgent even market purchase in product .',flipkartsupport
2,POSITIVE,0,3,b'@flipkartsupport plz share me product is reaches warehouse yes /nobut product pick up me 26/11/2016 earlly mrngother issue not aresponce me.',flipkartsupport
3,POSITIVE,1,3,b'@flipkartsupport.dear team my product is maximum refund date share me urgent even market purchase in product .',flipkartsupport
4,POSITIVE,0,3,b'@flipkartsupport plz share me product is reaches warehouse yes /nobut product pick up me 26/11/2016 earlly mrngother issue not aresponce me.',flipkartsupport
5,POSITIVE,1,3,b'@flipkartsupport.dear team my product is maximum refund date share me urgent even market purchase in product .',flipkartsupport
6,POSITIVE,0,3,b'@flipkartsupport plz share me product is reaches warehouse yes /nobut product pick up me 26/11/2016 earlly mrngother issue not aresponce me.',flipkartsupport
7,POSITIVE,1,3,b'@flipkartsupport.dear team my product is maximum refund date share me urgent even market purchase in product .',flipkartsupport
8,POSITIVE,0,3,b'@flipkartsupport plz share me product is reaches warehouse yes /nobut product pick up me 26/11/2016 earlly mrngother issue not aresponce me.',flipkartsupport
9,POSITIVE,1,3,b'@flipkartsupport.dear team my product is maximum refund date share me urgent even market purchase in product .',flipkartsupport
10,POSITIVE,0,3,b'@flipkartsupport plz share me product is reaches warehouse yes /nobut product pick up me 26/11/2016 earlly mrngother issue not aresponce me.',flipkartsupport
11,POSITIVE,1,3,b'@flipkartsupport.dear team my product is maximum refund date share me urgent even market purchase in product .',flipkartsupport
12,POSITIVE,0,3,b'@flipkartsupport plz share me product is reaches warehouse yes /nobut product pick up me 26/11/2016 earlly mrngother issue not aresponce me.',flipkartsupport
13,POSITIVE,1,3,b'@flipkartsupport.dear team my product is maximum refund date share me urgent even market purchase in product .',flipkartsupport
14,POSITIVE,0,3,b'@flipkartsupport plz share me product is reaches warehouse yes /nobut product pick up me 26/11/2016 earlly mrngother issue not aresponce me.',flipkartsupport
15,POSITIVE,1,3,b'@flipkartsupport.dear team my product is maximum refund date share me urgent even market purchase in product .',flipkartsupport
16,POSITIVE,0,3,b'@flipkartsupport plz share me product is reaches warehouse yes /nobut product pick up me 26/11/2016 earlly mrngother issue not aresponce me.',flipkartsupport
17,POSITIVE,1,3,b'@flipkartsupport.dear team my product is maximum refund date share me urgent even market purchase in product .',flipkartsupport
18,POSITIVE,0,3,b'@flipkartsupport plz share me product is reaches warehouse yes /nobut product pick up me 26/11/2016 earlly mrngother issue not aresponce me.',flipkartsupport
